ID;Token;Count
1;είπε;444
2;έγινε;572
3;έκανε;384
4;πήρε;203
5;ήρθε;349
6;έγραψε;22
7;κέρδισε;14
8;έχασε;15
9;πήγε;242
10;επέστρεψε;5
11;επίστρεψε;1
12;βρήκε;30
13;έφερε;46
14;έμεινε;66
15;συνέβη;17
16;συνέβηκε;0
17;συνέβησε;0
18;κατέληξε;3
19;κατάληξε;1
20;έστειλε;25
21;έδειξε;14
22;είδε;56
23;αποκάλυψε;2
24;άνοιξε;37
25;έκλεισε;25
26;βγήκε;89
27;ξέσπασε;1
28;ανέβηκε;14
29;έβγαλε;25
30;πρότεινε;7
31;έμαθε;20
32;ίδρυσε;0
33;κατέλαβε;0
34;ήξερε;81
35;εγκατέλειψε;2
36;εγκατάλειψε;0
37;επέτρεψε;1
38;επίτρεψε;0
39;έριξε;8
40;άκουσε;9
41;κατάλαβε;12
42;δίδαξε;0
43;προέβη;0
44;προέβησε;0
45;προέβηκε;0
46;έκοψε;6
47;έφτιαξε;7
48;έτυχε;47
49;κατέστρεψε;3
50;κατάστρεψε;0
51;έπαθε;18
52;έπεισε;3
53;έτρεξε;1
54;δούλεψε;16
55;δούλευσε;0
56;ένιωσε;1
57;διέλυσε;0
58;διάλυσε;0
59;έφαγε;12
60;έσυρε;0
61;πάραξε;0
62;θύμισε;5
63;προέβλεψε;0
64;πρόβλεψε;1
65;έλυσε;0
66;παρενέβη;1
67;παρενέβηκε;0
68;πρόσεξε;23
69;παρέπεμψε;0
70;παράπεμψε;0
71;καθάρισε;2
72;συνέδεσε;0
73;σύνδεσε;0
74;έδεσε;0
75;επενέβη;0
76;επενέβησε;0
77;επενέβηκε;0
78;συνέλεξε;0
79;σύλλεξε;0
80;εφηύρε;0
81;κατέπνιξε;0
82;έλαμψε;0
83;κατάπιε;0
84;συμπέρανε;0
85;άπλωσε;0
86;καταδίωξε;0
87;κατεδίωξε;0
88;έσφιξε;0
89;έγειρε;0
90;έπλεξε;0
91;έβλαψε;0
92;μαγείρεψε;1
93;έβαψε;0
94;έμπλεξε;1
95;έβαλε;37
96;έτεινε;0
97;έβρεξε;2
98;μόλυνε;0
99;έψαλε;0
100;ανέτειλε;0
101;ανάτειλε;0
102;έπλυνε;0
103;άλειψε;0
104;μίκρυνε;0
105;έσφαλε;0
106;ανάσανε;0
107;έφθειρε;0
108;έτριψε;0
109;έβηξε;0
110;έγδαρε;0
111;ακρίβυνε;1
112;γνώρισε;15
113;γλύκανε;0
114;σκλήρυνε;0
115;ύφανε;0
116;λείανε;0
117;άλεσε;0
